variable_name,label,pair_id,A_country,B_country,A_motivation,B_motivation,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language
CJ1,C2M1E1G1A3O1L1 / C1M3E1G1A3O2L1,1,Венгрия,Беларусь,Воссоединение с супругом(ой),Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Женщина,62,62,Врач,Программист,Говорит плохо,Говорит плохо
CJ2,C4M2E1G2A1O2L2 / C4M3E1G1A1O2L1,2,Пакистан,Пакистан,Поиск работы,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Женщина,21,21,Программист,Программист,Говорит свободно,Говорит плохо
CJ3,C6M1E1G2A1O4L2 / C7M1E2G2A1O4L2,3,Узбекистан,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,21,21,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ4,C6M2E1G2A2O1L1 / C6M2E1G1A2O4L1,4,Узбекистан,Узбекистан,Поиск работы,Поиск работы,Государственная организация,Государственная организация,Мужчина,Женщина,48,48,Врач,Сфера услуг (общепит),Говорит плохо,Говорит плохо
CJ5,C4M4E1G1A1O3L1 / C1M4E2G1A1O4L2,5,Пакистан,Беларусь,Учёба,Учёба,Государственная организация,Небольшая частная компания,Женщина,Женщина,21,21,Строитель,Сфера услуг (общепит),Говорит плохо,Говорит свободно
CJ6,C4M2E2G2A1O3L2 / C7M2E2G2A2O3L2,6,Пакистан,Украина,Поиск работы,Поиск работы,Небольшая частная компания,Небольшая частная компания,Мужчина,Мужчина,21,48,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ7,C6M1E2G1A2O1L1 / C3M1E1G1A2O1L2,7,Узбекистан,Индия,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Небольшая частная компания,Государственная организация,Женщина,Женщина,48,48,Врач,Врач,Говорит плохо,Говорит свободно
CJ8,C6M1E1G1A3O1L2 / C1M1E1G2A2O1L1,8,Узбекистан,Беларусь,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Государственная организация,Женщина,Мужчина,62,48,Врач,Врач,Говорит свободно,Говорит плохо
CJ9,C1M4E1G2A1O2L2 / C7M4E1G2A1O4L2,9,Беларусь,Украина,Учёба,Учёба,Государственная организация,Государственная организация,Мужчина,Мужчина,21,21,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно
CJ10,C2M2E2G1A2O1L1 / C1M1E2G1A2O1L1,10,Венгрия,Беларусь,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Врач,Врач,Говорит плохо,Говорит плохо
CJ11,C5M1E1G2A2O1L1 / C5M1E2G2A2O1L2,11,Румыния,Румыния,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Мужчина,Мужчина,48,48,Врач,Врач,Говорит плохо,Говорит свободно
CJ12,C5M3E2G2A3O3L1 / C5M3E2G1A3O2L1,12,Румыния,Румыния,Политическая нестабильность,Политическая нестабильность,Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,62,62,Строитель,Программист,Говорит плохо,Говорит плохо
CJ13,C5M1E1G1A2O1L1 / C7M1E2G2A2O1L1,13,Румыния,Украина,Воссоединение с супругом(ой),Воссоединение с супругом(ой),Государственная организация,Небольшая частная компания,Женщина,Мужчина,48,48,Врач,Врач,Говорит плохо,Говорит плохо
CJ14,C4M2E2G1A2O1L2 / C2M1E2G1A2O1L1,14,Пакистан,Венгрия,Поиск работы,Воссоединение с супругом(ой),Небольшая частная компания,Небольшая частная компания,Женщина,Женщина,48,48,Врач,Врач,Говорит свободно,Говорит плохо
CJ15,C4M2E1G2A3O3L2 / C5M2E2G1A2O3L2,15,Пакистан,Румыния,Поиск работы,Поиск работы,Государственная организация,Небольшая частная компания,Мужчина,Женщина,62,48,Строитель,Строитель,Говорит свободно,Говорит свободно
CJ16,C4M3E1G1A1O3L2 / C5M3E1G2A2O3L1,16,Пакистан,Румыния,Политическая нестабильность,Политическая нестабильность,Государственная организация,Государственная организация,Женщина,Мужчина,21,48,Строитель,Строитель,Говорит свободно,Говорит плохо
CJ17,C6M4E1G2A1O3L2 / C2M3E1G2A3O1L2,17,Узбекистан,Венгрия,Учёба,Политическая нестабильность,Государственная организация,Государственная организация,Мужчина,Мужчина,21,62,Строитель,Врач,Говорит свободно,Говорит свободно
