variable_name,label,pair_id,A_region,B_region,A_motivation,B_motivation,A_education,B_education,A_employer,B_employer,A_gender,B_gender,A_age,B_age,A_occupation,B_occupation,A_language,B_language,A_politics,B_politics,A_appearance,B_appearance
CJ1,R3M2Ed3Em1G1A8O4L2P1Ap1 / R3M2Ed1Em2G1A8O4L2P1Ap1,1,"Восточная Европа (Беларусь, Молдова, Украина)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Среднее специальное (колледж),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Женщина,62,62,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ2,R1M4Ed1Em1G2A4O4L2P2Ap2 / R1M4Ed1Em2G1A2O4L1P1Ap1,2,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Мужчина,Женщина,45,22,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит плохо,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ3,R3M1Ed3Em2G2A3O4L2P2Ap1 / R4M4Ed3Em1G2A2O4L2P2Ap1,3,"Восточная Европа (Беларусь, Молдова, Украина)","Западная Европа (Германия, Франция, Италия)",Бегство от вооружённого конфликта,Поиск работы,Среднее специальное (колледж),Среднее специальное (колледж),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,23,22,Сфера услуг (общепит),Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна обычно голосует вместе с США в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ4,R1M4Ed1Em2G2A6O3L1P2Ap1 / R1M3Ed1Em1G1A6O3L2P3Ap2,4,"Африка (Нигерия, ЮАР, Кения)","Африка (Нигерия, ЮАР, Кения)",Поиск работы,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Мужчина,Женщина,47,47,Строитель,Строитель,Говорит плохо,Говорит свободно,Страна обычно голосует вместе с США в Генассамблее ООН,Страна помогает России обходить санкции (параллельный экспорт),В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
CJ5,R6M4Ed2Em2G2A7O3L2P4Ap2 / R4M4Ed2Em1G2A7O3L2P4Ap1,5,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Западная Европа (Германия, Франция, Италия)",Поиск работы,Поиск работы,Среднее (школа),Среднее (школа),Небольшая частная компания,Государственная организация,Мужчина,Мужчина,61,61,Строитель,Строитель,Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ6,R6M3Ed2Em2G2A7O2L2P4Ap1 / R6M2Ed2Em2G1A3O4L2P4Ap1,6,"Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Бегство от политических преследований,Среднее (школа),Среднее (школа),Небольшая частная компания,Небольшая частная компания,Мужчина,Женщина,61,23,Программист,Сфера услуг (общепит),Говорит свободно,Говорит свободно,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ7,R2M2Ed1Em1G1A2O2L1P4Ap2 / R7M3Ed1Em2G1A8O2L1P4Ap2,7,"Восточная Азия (Китай, Южная Корея, Монголия)","Южный Кавказ (Армения, Азербайджан, Грузия)",Бегство от политических преследований,"Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Высшее (университет),Высшее (университет),Государственная организация,Небольшая частная компания,Женщина,Женщина,22,62,Программист,Программист,Говорит плохо,Говорит плохо,Страна присоединилась к санкциям против России,Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит традиционную национальную одежду
CJ8,R5M3Ed1Em1G1A3O3L1P3Ap2 / R6M4Ed1Em1G2A3O3L1P4Ap1,8,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Юго-Восточная Европа (Венгрия, Сербия, Болгария)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Поиск работы,Высшее (университет),Высшее (университет),Государственная организация,Государственная организация,Женщина,Мужчина,23,23,Строитель,Строитель,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна присоединилась к санкциям против России,В повседневной жизни носит традиционную национальную одежду,В повседневной жизни носит обычную повседневную одежду
CJ9,R5M3Ed3Em1G2A9O4L1P1Ap1 / R7M3Ed3Em2G1A9O4L2P1Ap1,9,"Средняя Азия (Узбекистан, Таджикистан, Кыргызстан)","Южный Кавказ (Армения, Азербайджан, Грузия)","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию","Воссоединение с супругом(ой), ранее приехавшим(ей) в Россию",Среднее специальное (колледж),Среднее специальное (колледж),Государственная организация,Небольшая частная компания,Мужчина,Женщина,63,63,Сфера услуг (общепит),Сфера услуг (общепит),Говорит плохо,Говорит свободно,Страна обычно голосует вместе с Россией в Генассамблее ООН,Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит обычную повседневную одежду
CJ10,R1M2Ed1Em2G1A3O1L1P3Ap1 / R3M2Ed1Em1G2A8O1L1P1Ap2,10,"Африка (Нигерия, ЮАР, Кения)","Восточная Европа (Беларусь, Молдова, Украина)",Бегство от политических преследований,Бегство от политических преследований,Высшее (университет),Высшее (университет),Небольшая частная компания,Государственная организация,Женщина,Мужчина,23,62,Врач,Врач,Говорит плохо,Говорит плохо,Страна помогает России обходить санкции (параллельный экспорт),Страна обычно голосует вместе с Россией в Генассамблее ООН,В повседневной жизни носит обычную повседневную одежду,В повседневной жизни носит традиционную национальную одежду
